iter	Passed	Remaining
406	6633	1515
407	6651	1499
408	6670	1484
409	6688	1468
410	6706	1452
411	6722	1435
412	6738	1419
413	6753	1402
414	6771	1386
415	6787	1370
416	6804	1354
417	6821	1338
418	6839	1322
419	6857	1306
420	6874	1289
421	6890	1273
422	6907	1257
423	6925	1241
424	6941	1224
425	6955	1208
426	6970	1191
427	6987	1175
428	7002	1158
429	7018	1142
430	7033	1126
431	7047	1109
432	7062	1092
433	7078	1076
434	7097	1060
435	7115	1044
436	7134	1028
437	7159	1013
438	7178	997
439	7195	981
440	7211	964
441	7227	948
442	7242	931
443	7257	915
444	7272	898
445	7286	882
446	7303	865
447	7319	849
448	7335	833
449	7350	816
450	7365	800
451	7380	783
452	7394	767
453	7411	750
454	7427	734
455	7443	718
456	7459	701
457	7476	685
458	7492	669
459	7507	652
460	7525	636
461	7544	620
462	7560	604
463	7576	587
464	7596	571
465	7611	555
466	7626	538
467	7641	522
468	7656	506
469	7673	489
470	7690	473
471	7712	457
472	7730	441
473	7745	424
474	7761	408
475	7777	392
476	7792	375
477	7807	359
478	7823	342
479	7838	326
480	7853	310
481	7867	293
482	7883	277
483	7899	261
484	7915	244
485	7931	228
486	7946	212
487	7961	195
488	7977	179
489	7993	163
490	8007	146
491	8024	130
492	8042	114
493	8059	97
494	8076	81
495	8091	65
496	8107	48
497	8125	32
498	8140	16
499	8158	0
