iter	Logloss
0	0.6748483543
1	0.658523536
2	0.6442679427
3	0.6315904182
4	0.6169005551
5	0.6038257177
6	0.5886493414
7	0.5751624919
8	0.5611945401
9	0.5491017573
10	0.5380302714
11	0.5263478461
12	0.5147393918
13	0.5064594197
14	0.4971099245
15	0.4846654459
16	0.4744905057
17	0.4642406323
18	0.452279934
19	0.4452143999
20	0.4355683272
21	0.4276796012
22	0.4185783993
23	0.4097272121
24	0.4022454212
25	0.3967690532
26	0.389307012
27	0.380704738
28	0.3744183086
29	0.3694747852
30	0.3633814401
31	0.3574372931
32	0.3513455823
33	0.3448106837
34	0.3401079915
35	0.335215024
36	0.32994669
37	0.3259603909
38	0.320988526
39	0.3178132885
40	0.3137700869
41	0.3092017629
42	0.3055482312
43	0.3014170001
44	0.2958712735
45	0.2920132948
46	0.2884071635
47	0.2834265322
48	0.2802438665
49	0.2774335117
50	0.2730463891
51	0.2699312928
52	0.2673223685
53	0.264347369
54	0.2614301801
55	0.2592536198
56	0.255435858
57	0.2529099703
58	0.2501089858
59	0.2468049208
60	0.2441425687
61	0.2419693013
62	0.2403736367
63	0.2392105876
64	0.2370373623
65	0.23459016
66	0.2322259695
67	0.2293910034
68	0.227020841
69	0.225116358
70	0.2231958636
71	0.2208182146
72	0.219747933
73	0.2181442984
74	0.2169716986
75	0.2150311626
76	0.2139648594
77	0.2121521237
78	0.210383694
79	0.2091959573
80	0.2071864951
81	0.2056048435
82	0.2039754397
83	0.2024115641
84	0.2011270486
85	0.1993610787
86	0.198068361
87	0.196799359
88	0.1958448332
89	0.1947741951
90	0.1932954088
91	0.1924935409
92	0.1917185393
93	0.1903512528
94	0.1889868003
95	0.1882777128
96	0.1872228393
97	0.1859969436
98	0.1850386133
99	0.1842529026
100	0.1831575314
101	0.1816851769
102	0.1807773613
103	0.1798285075
104	0.178636844
105	0.1778076047
106	0.1765470847
107	0.1756240925
108	0.1745443295
109	0.1736511404
110	0.1728101243
111	0.1721102248
112	0.1712017562
113	0.1699014282
114	0.169229597
115	0.168271848
116	0.1676951325
117	0.1671052985
118	0.1665429543
119	0.1655662902
120	0.1649281297
121	0.164367003
122	0.1632580029
123	0.1624859212
124	0.1619862118
125	0.1609597645
126	0.1600042932
127	0.1593180523
128	0.1585430487
129	0.1575914923
130	0.1570625662
131	0.1561049183
132	0.1555817451
133	0.1550172081
134	0.1544289743
135	0.1538622863
136	0.1534747114
137	0.1529715516
138	0.1525552859
139	0.1516355604
140	0.1511658357
141	0.1506640953
142	0.1501888736
143	0.1495642579
144	0.1488143524
145	0.1483371118
146	0.147338015
147	0.146851036
148	0.1460983719
149	0.1453891116
150	0.1448600703
151	0.1442129299
152	0.1436695071
153	0.1430975141
154	0.1425237674
155	0.1422025001
156	0.141763259
157	0.1412916345
158	0.1409098583
159	0.140434269
160	0.1398150749
161	0.1391963705
162	0.1388597983
163	0.1384808709
164	0.138102626
165	0.1374838696
166	0.1371977173
167	0.1366952272
168	0.1362178939
169	0.1356256342
170	0.1352610311
171	0.1349700545
172	0.1345220469
173	0.1341160867
174	0.1338620887
175	0.1334679111
176	0.1330480081
177	0.1323592822
178	0.1320177443
179	0.1316446633
180	0.1313203434
181	0.1309156934
182	0.1304847325
183	0.1301165027
184	0.1297421482
185	0.1291091401
186	0.1285522301
187	0.1280210448
188	0.1278378029
189	0.1273699589
190	0.1270092028
191	0.1264476893
192	0.1260995362
193	0.1255408253
194	0.1249423677
195	0.1245394598
196	0.1240686872
197	0.1236343987
198	0.1233519219
199	0.1230011878
200	0.1226347857
201	0.1222545919
202	0.1218657931
203	0.1215734758
204	0.1210456174
205	0.1207267991
206	0.1204407626
207	0.1201610153
208	0.1197965423
209	0.1195397242
210	0.1193006993
211	0.1188825998
212	0.1185413707
213	0.1182110574
214	0.117817467
215	0.1173780585
216	0.1168034385
217	0.1165488739
218	0.1162991381
219	0.1158701557
220	0.1154770036
221	0.1149517554
222	0.1144507154
223	0.1141835009
224	0.1138907333
225	0.1135593212
226	0.1132294909
227	0.1129654318
228	0.1125320924
229	0.1122868335
230	0.1119745079
231	0.1116418718
232	0.1110666212
233	0.1104580487
234	0.110100449
235	0.1097823313
236	0.1093635207
237	0.1090073349
238	0.1087936212
239	0.1082923072
240	0.1080012147
241	0.1076154576
242	0.1072876743
243	0.1070078223
244	0.106738707
245	0.1063501178
246	0.1060856542
247	0.1058265645
248	0.105542518
249	0.1052240461
250	0.1049720424
251	0.1047115793
252	0.1044461766
253	0.1041090483
254	0.1037826742
255	0.1034275477
256	0.1031633735
257	0.1029806972
258	0.1027177625
259	0.1024578351
260	0.1022631051
261	0.10202435
262	0.1017401099
263	0.1015070913
264	0.1011720477
265	0.1009586398
266	0.100777012
267	0.10054833
268	0.1002408833
269	0.09991077748
270	0.09973227135
271	0.09941532969
272	0.09919996884
273	0.09889230499
274	0.09855980336
275	0.09838435381
276	0.09808004983
277	0.09775536145
278	0.09726901677
279	0.09711067208
280	0.09676992567
281	0.09660319828
282	0.09627269827
283	0.09595989191
284	0.095706775
285	0.09549982246
286	0.09526957041
287	0.09485581242
288	0.094565282
289	0.09427036427
290	0.09395814117
291	0.09376986333
292	0.09352245512
293	0.09323413761
294	0.09304552837
295	0.09288498882
296	0.09269943812
297	0.09248386512
298	0.09212798291
299	0.0918987023
300	0.09163142495
301	0.09136975363
302	0.09111328891
303	0.09098339552
304	0.09081197587
305	0.09051707701
306	0.09029746799
307	0.09004286834
308	0.08968851397
309	0.08933304014
310	0.08901182982
311	0.08885202095
312	0.0886261576
313	0.08839819211
314	0.0881690407
315	0.08793133219
316	0.08755609088
317	0.08739184621
318	0.08705829486
319	0.08688061796
320	0.08657422905
321	0.08636405569
322	0.0860781741
323	0.08586424394
324	0.08543432546
325	0.08516914722
326	0.08498370424
327	0.08477661009
328	0.08462610576
329	0.08440997486
330	0.0840947479
331	0.08389389921
332	0.083713699
333	0.08330615284
334	0.08301526847
335	0.08286524339
336	0.08265891881
337	0.08249663239
338	0.08229205453
339	0.08205942969
340	0.0818624893
341	0.08167488048
342	0.08153741263
343	0.08138431156
344	0.08121150638
345	0.08093656135
346	0.08071860991
347	0.08053638363
348	0.08038017281
349	0.08013286217
350	0.0799217407
351	0.07982503832
352	0.07959891131
353	0.07935923668
354	0.07917454341
355	0.07900553475
356	0.07876184022
357	0.07852977897
358	0.07837677416
359	0.07826481459
360	0.07789985591
361	0.07773469707
362	0.07756315339
363	0.07739512086
364	0.07702163338
365	0.076905048
366	0.07666094852
367	0.0764848577
368	0.07633551554
369	0.07609168931
370	0.0758407384
371	0.0756552944
372	0.0754503029
373	0.07515156426
374	0.07499284419
375	0.07474624882
376	0.07460924513
377	0.07440081981
378	0.07421566716
379	0.07414169618
380	0.0739616455
381	0.07366653221
382	0.07357142629
383	0.07327699143
384	0.0731548838
385	0.07296850037
386	0.07280774832
387	0.07253655059
388	0.07236261764
389	0.07218284236
390	0.07197738077
391	0.07181254537
392	0.07172716808
393	0.07149184633
394	0.07133522577
395	0.07117610253
396	0.07093406954
397	0.07073312665
398	0.07055056324
399	0.07040632813
400	0.07018980476
401	0.07006190548
402	0.06995795578
403	0.06983326677
404	0.06973879805
405	0.06949737966
406	0.06930132785
407	0.06918741819
408	0.06902091164
409	0.06874057673
410	0.06857494405
411	0.0682894818
412	0.068114792
413	0.06790788469
414	0.06767086246
415	0.06745246297
416	0.06730508559
417	0.06717557362
418	0.06706653862
419	0.06695172356
420	0.06674767128
421	0.06666976864
422	0.06645039902
423	0.0662606245
424	0.0661395896
425	0.06596966424
426	0.0658333442
427	0.0655761349
428	0.06536763061
429	0.06523035935
430	0.06518019592
431	0.06510134772
432	0.06494603942
433	0.06480564998
434	0.06464264589
435	0.06454313197
436	0.06425641985
437	0.06405646979
438	0.06383099807
439	0.06368626214
440	0.06357062886
441	0.06336057908
442	0.06314248468
443	0.06300777023
444	0.06286184981
445	0.06268206601
446	0.06257046221
447	0.06241476058
448	0.06208086114
449	0.06199523759
450	0.06183657427
451	0.06163778738
452	0.06158043396
453	0.06143024768
454	0.06128396509
455	0.0610737187
456	0.0609516339
457	0.06079039426
458	0.06060582364
459	0.0605020919
460	0.06037185472
461	0.06017178569
462	0.06006333037
463	0.05990422713
464	0.05968777064
465	0.05956009804
466	0.05942931252
467	0.05934182866
468	0.05924240772
469	0.05912564012
470	0.0590236977
471	0.05888486311
472	0.05875822894
473	0.05866264628
474	0.05851667591
475	0.05835503106
476	0.05830157869
477	0.05809252508
478	0.05797131015
479	0.05789213137
480	0.05774391489
481	0.0575316756
482	0.05741057654
483	0.05725501443
484	0.05711312021
485	0.05702303909
486	0.05692751576
487	0.05676398553
488	0.05662418775
489	0.05641666223
490	0.05626183606
491	0.05613874578
492	0.05598052776
493	0.05584518595
494	0.0556995387
495	0.05553216179
496	0.05538474641
497	0.05524696726
498	0.05506539069
499	0.05497151209
